Material,Tc,Correct,Pathf
(n = 2) Bi 2 Sr 2 CaCu 2 O 8+δ (Bi-2212),90 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/1/015009/sust_31_1_015009am.pdf
(n = 3) Bi 2 Sr 2 Ca 2 Cu 3 O 10+δ (Bi-2223),110 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/2/025010/SUST_28_2_025010.pdf
.1 ⩽ x ⩽ 0.2,32 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/7/075001/sust_28_7_075001.pdf
0 = 0),400 mK,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/014003/sust_30_1_014003am.pdf
0 ⩽ x ⩽ 0.42,26 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/6/062001/sust_28_6_062001.pdf
0.01,5.2 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/10/104004/sust_29_10_104004.pdf
0.1 ⩽ x ⩽ 0.2,32 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/7/075001/sust_28_7_075001.pdf
1-UC film on SrTiO3,43 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/9/093001/sust_31_9_093001am.pdf
111,42 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/RSI/v89/i3/033702_1/vor_1.5016281.pdf
122-type iron pnictides,38 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/9/095006/sust_29_9_095006.pdf
122-type iron-pnictides,38 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/7/07LT01/sust_30_7_07LT01am.pdf
2H-TaS 2,3.0 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/6/065001/sust_31_6_065001.pdf
2H-TaSe 2,0.14 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/12/125001/sust_30_12_125001am.pdf
2H-TaSe 2,2.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/12/125001/sust_30_12_125001am.pdf
= x 0.1,60 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/8/085001/sust_29_8_085001.pdf
A x Fe 2−y Se 2 (122,31 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/10/105015/sust_29_10_105015.pdf
A x Fe y 2-Se 2,31 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/1/015003/sust_31_1_015003.pdf
AM x (NH 3 ) y Fe 2 Ch 2,45 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115005/sust_30_11_115005am.pdf
Ag-doped FeSe 0.94,9.4 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/2/025013/SUST_28_2_025013.pdf
Al 2 O 3,6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/7/073001/sust_31_7_073001.pdf
Al 2 O 3,9.2 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2005/JAP/97/8/10.1063_1.1874292/10.1063_1.1874292_fulltext.pdf
Al 2 O 3,9.5 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2005/JAP/97/8/10.1063_1.1874292/10.1063_1.1874292_fulltext.pdf
Al/Al 2 O 3,6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/7/073001/sust_31_7_073001.pdf
As-fabricated films grown on SiO 2 / Si,1.4 and 1.27 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2005/JAP/98/1/10.1063_1.1946205/10.1063_1.1946205_fulltext.pdf
B 1−x C x ) 2,38.1-38.26 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/10/105020/sust_29_10_105020.pdf
B5,4.2 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/1/015012/sust_29_1_015012.pdf
BHO film,90.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/5/055002/sust_30_5_055002am.pdf
BHO-doped YBCO),0±0.4 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/4/044007/sust_31_4_044007.pdf
BSCCO superconducting material are (n = 2) Bi 2 Sr 2 CaCu 2 O 8+δ (Bi-2212),90 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/2/025010/SUST_28_2_025010.pdf
BSCCO,108 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/4/043002/sust_30_4_043002am.pdf
BZO-Co-Ba122 thin film,21.8 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/8/085006/sust_30_8_085006.pdf
BZO-Co-Ba122 thin film,22 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/8/085006/sust_30_8_085006.pdf
BZO-Co-Ba122 thin film,4.2 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/8/085006/sust_30_8_085006.pdf
Ba 0.6 K 0.4 Fe 2 As 2 single crystals,38.6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/8/085003/sust_28_8_085003.pdf
Ba 0.6 K 0.4 Fe 2 As 2,38.6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/8/085003/sust_28_8_085003.pdf
Ba 0.6 K 0.4 Fe 2 As 2,5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/9/095015/sust_28_9_095015.pdf
Ba 0.6 K 0.4 Fe 2 As 2,=38.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/9/095015/sust_28_9_095015.pdf
Ba 1−x K x BiO 3−δ (BKBO),30 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/6/065004/sust_31_6_065004.pdf
Ba 1−x K x Fe 2 As 2 (K-Ba122) crystals,38 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/3/034006/sust_31_3_034006am.pdf
Ba 1−x K x Fe 2 As 2,38 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/3/034006/sust_31_3_034006am.pdf
Ba NH Fe Se x 3 2 2,39 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/035005/sust_29_3_035005.pdf
Ba NH Fe Se,39 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/035005/sust_29_3_035005.pdf
Ba(Fe 0.935 Co 0.065 ) 2 As 2,21.7 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/12/125007/sust_30_12_125007am.pdf
Ba-122 single crystal,38.2 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/10/102001/sust_28_10_102001.pdf
Ba-122,35 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/9/093001/sust_31_9_093001am.pdf
Ba-122,38.2 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/10/102001/sust_28_10_102001.pdf
Ba0.6K0.4Fe2As2 crystal,37.9 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/2/025009/sust_31_2_025009am.pdf
Ba122,20 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/2/025002/sust_31_2_025002am.pdf
Ba122,20.2 and 19.0 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/5/055001/sust_31_5_055001.pdf
Ba122,23.6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/2/025002/sust_31_2_025002am.pdf
Ba122,24.6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/8/085006/sust_30_8_085006.pdf
Ba122,25.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/2/025002/sust_31_2_025002am.pdf
Ba122,26 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/2/025002/sust_31_2_025002am.pdf
Ba122:Co CCs,20.2 and 19.0 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/5/055001/sust_31_5_055001.pdf
Ba122:Co film,1.1 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/2/025002/sust_31_2_025002am.pdf
BaBi3,5.9 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/2/025015/sust_30_2_025015am.pdf
BaBi3,6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/2/025015/sust_30_2_025015am.pdf
BaFe 1.84 Co 0.16 As 2,8 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/5/055001/sust_31_5_055001.pdf
BaFe 1.84 Co 0.16 As 2,=24.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/2/025001/sust_30_2_025001am.pdf
BaFe 1.84 Co 0.16 As 2,=24.8 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/5/055001/sust_31_5_055001.pdf
BaFe 1.9 Ni 0.1 As 2,18.3 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/015007/sust_30_1_015007am.pdf
BaFe 1.9 Pt 0.1 As 2,23 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/1/014004/SUST_28_1_014004.pdf
BaFe 2 (As 0.68 P 0.32 ) 2 single crystal,27.6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/5/055017/sust_28_5_055017.pdf
BaFe 2 (As 0.68 P 0.32 ) 2,27.6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/5/055017/sust_28_5_055017.pdf
BaFe 2 (As 1−x P x ) 2 crystals,30 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/3/034005/sust_31_3_034005am.pdf
BaFe 2 (As 1−x P x ) 2,30 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/3/034005/sust_31_3_034005am.pdf
BaFe 2 (As 1−x P x ) 2,30 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/6/064002/sust_31_6_064002am.pdf
BaFe 2 As 2 (Ba-122),38 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/11/114005/sust_28_11_114005.pdf
BaFe 2 As 2 (Ba122),38 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/1/015013/sust_29_1_015013.pdf
BaFe 2 As 2,24 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/8/085003/sust_28_8_085003.pdf
BaFe 2 S 3,24 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/10/105002/sust_31_10_105002am.pdf
BaFe 2−x Ni x As 2 crystal with x=0.096,19.9 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/015007/sust_30_1_015007am.pdf
BaFe 2−x Ni x As 2 crystal with x=0.096,=19.9 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/015007/sust_30_1_015007am.pdf
BaFe 2−x Ni x As 2 crystal,8 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/015007/sust_30_1_015007am.pdf
BaFe 2−x Ni x As 2 single crystals,20 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/015007/sust_30_1_015007am.pdf
BaFe 2−x Ni x As 2,8 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/015007/sust_30_1_015007am.pdf
BaFe 2−x Ni x As 2,=19.9 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/015007/sust_30_1_015007am.pdf
BaFe2(As1−xPx)2,28 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/6/064002/sust_31_6_064002am.pdf
BaFe2As2 single crystal,30 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/9/093001/sust_31_9_093001am.pdf
BaIr 2 As 2,1.8 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/3/035007/sust_30_3_035007am.pdf
BaIr 2 As 2,2.45 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/3/035007/sust_30_3_035007am.pdf
Bi 2 Sr 2 CaCu 2 O y (Bi-2212),90 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/APL/v112/i25/251109_1/vor_1.5039688.pdf
Bi 2 Sr 2 CaCu 2 O y (Bi-2212,90 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/APL/v112/i25/251109_1/vor_1.5039688.pdf
Bi 2 Sr 2 CaCu 2 O y,90 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/APL/v112/i25/251109_1/vor_1.5039688.pdf
Bi 2 Sr 2−x La x Cu0 y with x = 0.1,12.2 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/6/065010/sust_28_6_065010.pdf
Bi 2 Sr 2−x La x Cu0 y with x = 0.3,21.9 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/6/065010/sust_28_6_065010.pdf
Bi 2.43 Sr 1.85 Ca 0.90 Cu 1.82 O x ),80 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/8/085017/sust_28_8_085017.pdf
Bi 3 O 2 S 3,4.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/1/015008/SUST_28_1_015008.pdf
Bi 4 O 4 S 3,10 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/1/015008/SUST_28_1_015008.pdf
Bi 4 O 4 S 3,4.4 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115011/sust_30_11_115011.pdf
Bi 4 O 4 S 3,≈8.6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/4/04LT03/sust_29_4_04LT03.pdf
Bi-2212 superconductor,93 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/10/105011/sust_30_10_105011am.pdf
Bi-2212,81 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/6/065013/sust_29_6_065013.pdf
Bi-2212,93 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/4/045014/sust_28_4_045014.pdf
Bi-2212,93 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/10/105011/sust_30_10_105011am.pdf
Bi-2223,90 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/4/043002/sust_30_4_043002am.pdf
Bi-2223,90-95 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/5/055008/sust_29_5_055008.pdf
Bi2201,20 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/7/073001/sust_31_7_073001.pdf
Bi2212 single crystals,85 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2005/JAP/98/3/10.1063_1.2006992/10.1063_1.2006992_fulltext.pdf
BiIn 2,4.8 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/1/015012/sust_29_1_015012.pdf
BiO −x 1 F x BiS 2,3.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/1/015008/SUST_28_1_015008.pdf
BiPd single crystals,3.79 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/6/065001/sust_29_6_065001.pdf
BiSrCaCuO(2212),95 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/10/105014/sust_28_10_105014.pdf
BiSrCaCuO(2212,95 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/10/105014/sust_28_10_105014.pdf
Br-doped (PbSe) 1.12 (TaSe 2 ),28 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/12/125010/sust_31_12_125010.pdf
Br-doped (PbSe) 1.12,≈1.28 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/12/125010/sust_31_12_125010.pdf
Brdoped (PbSe) 1.12 (TaSe 2 ),28 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/12/125010/sust_31_12_125010.pdf
CCO,110 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/7/073001/sust_31_7_073001.pdf
CCO,38 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/7/073001/sust_31_7_073001.pdf
CCO,50 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/7/073001/sust_31_7_073001.pdf
CCO,80 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/7/073001/sust_31_7_073001.pdf
CCO/BCO,60 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/7/073001/sust_31_7_073001.pdf
CCO/STO bilayers,40 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/9/095012/sust_28_9_095012.pdf
CCO/STO,38 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/7/073001/sust_31_7_073001.pdf
CCO/STO,40 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/9/095012/sust_28_9_095012.pdf
CCO/STO,50 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/7/073001/sust_31_7_073001.pdf
Ca 10 (Pt 4 As 8 )(Fe 1−x Pt x ) 2 As 2 ) 5 (x≈0.05) single crystal,26 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/6/065010/sust_31_6_065010.pdf
Ca La 0.82 0.18 FeAs 2 pnictide,42.6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/9/092001/sust_28_9_092001.pdf
Ca-intercalated monolayer graphene (CaC 6,1.4 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/013002/sust_30_1_013002am.pdf
